ppl: 3.6177423000335693
tensor(1.3596, device='cuda:0')
tensor(0.6657, device='cuda:0')
tensor(1.6658, device='cuda:0')
tensor(1.7509, device='cuda:0')
tensor(1.7850, device='cuda:0')
tensor(1.6421, device='cuda:0')
tensor(1.8047, device='cuda:0')
tensor(1.2362, device='cuda:0')
tensor(1.3239, device='cuda:0')
tensor(1.1223, device='cuda:0')
tensor(1.2622, device='cuda:0')
tensor(1.3431, device='cuda:0')
tensor(1.1737, device='cuda:0')
tensor(1.2153, device='cuda:0')
tensor(1.3747, device='cuda:0')
tensor(1.5381, device='cuda:0')
tensor(2.1382, device='cuda:0')
tensor(1.3729, device='cuda:0')
tensor(1.4283, device='cuda:0')
tensor(1.2638, device='cuda:0')
tensor(1.5168, device='cuda:0')
tensor(1.4367, device='cuda:0')
tensor(0.9467, device='cuda:0')
tensor(1.1035, device='cuda:0')
tensor(0.9794, device='cuda:0')
tensor(0.8860, device='cuda:0')
tensor(0.9074, device='cuda:0')
tensor(1.1655, device='cuda:0')
tensor(0.7559, device='cuda:0')
tensor(1.2488, device='cuda:0')
tensor(1.7358, device='cuda:0')
tensor(1.8103, device='cuda:0')
tensor(1.8505, device='cuda:0')
tensor(1.4862, device='cuda:0')
tensor(1.3611, device='cuda:0')
tensor(1.8395, device='cuda:0')
tensor(1.5411, device='cuda:0')
tensor(1.6378, device='cuda:0')
tensor(1.5595, device='cuda:0')
tensor(1.6372, device='cuda:0')
tensor(1.1649, device='cuda:0')
tensor(1.1194, device='cuda:0')
tensor(1.0620, device='cuda:0')
tensor(1.3144, device='cuda:0')
tensor(1.3174, device='cuda:0')
tensor(1.5257, device='cuda:0')
tensor(1.3761, device='cuda:0')
tensor(1.4885, device='cuda:0')
tensor(1.5811, device='cuda:0')
tensor(1.2428, device='cuda:0')
tensor(1.4394, device='cuda:0')
tensor(1.7536, device='cuda:0')
tensor(1.7131, device='cuda:0')
tensor(2.0505, device='cuda:0')
tensor(1.5069, device='cuda:0')
tensor(0.9862, device='cuda:0')
tensor(0.6475, device='cuda:0')
tensor(1.3732, device='cuda:0')
tensor(1.5256, device='cuda:0')
tensor(1.6667, device='cuda:0')
tensor(1.8811, device='cuda:0')
tensor(1.7000, device='cuda:0')
tensor(1.2499, device='cuda:0')
tensor(1.1498, device='cuda:0')
tensor(1.4244, device='cuda:0')
tensor(1.5521, device='cuda:0')
tensor(1.3517, device='cuda:0')
tensor(1.1148, device='cuda:0')
tensor(0.8581, device='cuda:0')
tensor(0.8534, device='cuda:0')
tensor(0.7862, device='cuda:0')
tensor(1.0679, device='cuda:0')
tensor(1.2784, device='cuda:0')
tensor(1.1717, device='cuda:0')
tensor(1.3374, device='cuda:0')
tensor(0.8486, device='cuda:0')
tensor(0.9090, device='cuda:0')
tensor(1.4992, device='cuda:0')
tensor(1.8810, device='cuda:0')
tensor(1.7511, device='cuda:0')
tensor(1.4651, device='cuda:0')
tensor(1.6464, device='cuda:0')
tensor(1.5931, device='cuda:0')
tensor(1.3760, device='cuda:0')
tensor(1.5160, device='cuda:0')
tensor(1.3976, device='cuda:0')
tensor(1.8770, device='cuda:0')
tensor(1.6652, device='cuda:0')
tensor(1.7894, device='cuda:0')
tensor(2.0124, device='cuda:0')
tensor(1.5295, device='cuda:0')
tensor(1.5482, device='cuda:0')
tensor(1.5775, device='cuda:0')
tensor(1.5398, device='cuda:0')
tensor(1.7874, device='cuda:0')
tensor(1.2677, device='cuda:0')
tensor(1.8146, device='cuda:0')
tensor(0.8355, device='cuda:0')
tensor(1.1684, device='cuda:0')
tensor(0.9039, device='cuda:0')
tensor(1.3474, device='cuda:0')
tensor(1.2682, device='cuda:0')
tensor(1.5262, device='cuda:0')
tensor(1.3381, device='cuda:0')
tensor(1.0645, device='cuda:0')
tensor(1.2946, device='cuda:0')
tensor(1.1921, device='cuda:0')
tensor(1.9136, device='cuda:0')
tensor(1.4580, device='cuda:0')
tensor(1.5639, device='cuda:0')
tensor(1.2248, device='cuda:0')
tensor(1.0822, device='cuda:0')
tensor(1.5707, device='cuda:0')
tensor(2.1242, device='cuda:0')
tensor(1.6549, device='cuda:0')
tensor(1.6451, device='cuda:0')
tensor(1.6853, device='cuda:0')
tensor(1.7211, device='cuda:0')
tensor(0.9446, device='cuda:0')
tensor(0.9433, device='cuda:0')
tensor(1.2443, device='cuda:0')
tensor(1.5168, device='cuda:0')
tensor(1.7044, device='cuda:0')
tensor(1.6662, device='cuda:0')
tensor(1.3543, device='cuda:0')
tensor(1.4590, device='cuda:0')
tensor(1.3436, device='cuda:0')
tensor(1.1305, device='cuda:0')
tensor(1.3351, device='cuda:0')
tensor(1.1800, device='cuda:0')
tensor(1.1888, device='cuda:0')
tensor(1.3741, device='cuda:0')
tensor(1.1568, device='cuda:0')
tensor(1.0812, device='cuda:0')
tensor(1.1904, device='cuda:0')
tensor(1.3037, device='cuda:0')
tensor(1.1093, device='cuda:0')
tensor(1.3907, device='cuda:0')
tensor(1.2554, device='cuda:0')
tensor(1.3957, device='cuda:0')
tensor(1.3534, device='cuda:0')
tensor(1.7158, device='cuda:0')
tensor(1.3983, device='cuda:0')
tensor(1.1509, device='cuda:0')
tensor(1.0420, device='cuda:0')
tensor(1.1082, device='cuda:0')
tensor(1.1476, device='cuda:0')
tensor(1.1602, device='cuda:0')
tensor(1.3346, device='cuda:0')
tensor(1.6552, device='cuda:0')
tensor(1.8233, device='cuda:0')
tensor(1.9203, device='cuda:0')
tensor(1.4386, device='cuda:0')
tensor(1.5361, device='cuda:0')
tensor(1.0523, device='cuda:0')
tensor(0.7907, device='cuda:0')
tensor(0.6692, device='cuda:0')
tensor(0.6530, device='cuda:0')
tensor(1.2063, device='cuda:0')
tensor(1.9015, device='cuda:0')
tensor(1.5827, device='cuda:0')
tensor(0.9182, device='cuda:0')
tensor(0.7718, device='cuda:0')
tensor(0.7438, device='cuda:0')
tensor(0.6102, device='cuda:0')
tensor(1.2322, device='cuda:0')
tensor(1.4903, device='cuda:0')
tensor(1.1281, device='cuda:0')
tensor(1.2354, device='cuda:0')
tensor(0.9795, device='cuda:0')
tensor(1.1020, device='cuda:0')
tensor(1.1172, device='cuda:0')
tensor(1.1321, device='cuda:0')
tensor(1.2586, device='cuda:0')
tensor(1.4778, device='cuda:0')
tensor(1.1801, device='cuda:0')
tensor(1.1671, device='cuda:0')
tensor(1.1374, device='cuda:0')
tensor(1.0833, device='cuda:0')
tensor(1.2720, device='cuda:0')
tensor(1.0240, device='cuda:0')
tensor(1.2739, device='cuda:0')
tensor(0.9436, device='cuda:0')
tensor(1.0493, device='cuda:0')
tensor(1.9272, device='cuda:0')
tensor(1.1446, device='cuda:0')
tensor(1.3736, device='cuda:0')
tensor(1.1967, device='cuda:0')
tensor(1.2166, device='cuda:0')
tensor(1.3347, device='cuda:0')
tensor(1.3052, device='cuda:0')
tensor(1.0679, device='cuda:0')
tensor(1.3046, device='cuda:0')
tensor(1.0807, device='cuda:0')
tensor(1.4106, device='cuda:0')
tensor(1.5365, device='cuda:0')
tensor(1.6626, device='cuda:0')
tensor(1.5963, device='cuda:0')
tensor(1.4298, device='cuda:0')
tensor(0.9131, device='cuda:0')
tensor(1.0024, device='cuda:0')
tensor(0.9731, device='cuda:0')
tensor(0.7946, device='cuda:0')
tensor(1.1144, device='cuda:0')
tensor(0.8496, device='cuda:0')
tensor(0.9517, device='cuda:0')
tensor(0.9761, device='cuda:0')
tensor(0.9827, device='cuda:0')
tensor(1.1130, device='cuda:0')
tensor(1.3191, device='cuda:0')
tensor(1.3045, device='cuda:0')
tensor(0.8272, device='cuda:0')
tensor(0.9745, device='cuda:0')
tensor(0.8607, device='cuda:0')
tensor(1.1812, device='cuda:0')
tensor(0.9382, device='cuda:0')
tensor(1.1455, device='cuda:0')
tensor(0.9025, device='cuda:0')
tensor(1.3731, device='cuda:0')
tensor(1.0529, device='cuda:0')
tensor(0.9325, device='cuda:0')
tensor(0.9879, device='cuda:0')
tensor(0.8906, device='cuda:0')
tensor(0.9942, device='cuda:0')
tensor(1.0582, device='cuda:0')
tensor(0.9485, device='cuda:0')
tensor(1.0875, device='cuda:0')
tensor(1.2378, device='cuda:0')
tensor(1.3598, device='cuda:0')
tensor(1.0902, device='cuda:0')
tensor(0.8779, device='cuda:0')
tensor(0.8942, device='cuda:0')
tensor(1.1574, device='cuda:0')
tensor(1.6250, device='cuda:0')
tensor(2.4650, device='cuda:0')
