ppl: 3.815035343170166
tensor(1.0068, device='cuda:0')
tensor(1.4887, device='cuda:0')
tensor(1.2011, device='cuda:0')
tensor(0.9765, device='cuda:0')
tensor(1.1138, device='cuda:0')
tensor(1.1341, device='cuda:0')
tensor(1.0890, device='cuda:0')
tensor(1.1756, device='cuda:0')
tensor(1.8375, device='cuda:0')
tensor(1.6506, device='cuda:0')
tensor(1.6862, device='cuda:0')
tensor(1.1338, device='cuda:0')
tensor(1.2589, device='cuda:0')
tensor(1.0207, device='cuda:0')
tensor(1.1172, device='cuda:0')
tensor(1.2098, device='cuda:0')
tensor(1.4830, device='cuda:0')
tensor(1.5788, device='cuda:0')
tensor(1.4871, device='cuda:0')
tensor(1.0193, device='cuda:0')
tensor(1.5217, device='cuda:0')
tensor(0.6735, device='cuda:0')
tensor(0.7051, device='cuda:0')
tensor(0.6918, device='cuda:0')
tensor(0.6612, device='cuda:0')
tensor(0.9055, device='cuda:0')
tensor(0.9616, device='cuda:0')
tensor(1.2058, device='cuda:0')
tensor(1.6033, device='cuda:0')
tensor(1.6212, device='cuda:0')
tensor(1.4688, device='cuda:0')
tensor(1.3896, device='cuda:0')
tensor(1.3854, device='cuda:0')
tensor(1.6224, device='cuda:0')
tensor(1.4203, device='cuda:0')
tensor(1.7765, device='cuda:0')
tensor(1.5391, device='cuda:0')
tensor(1.3450, device='cuda:0')
tensor(1.3062, device='cuda:0')
tensor(0.9913, device='cuda:0')
tensor(1.6868, device='cuda:0')
tensor(1.4077, device='cuda:0')
tensor(1.2950, device='cuda:0')
tensor(1.2668, device='cuda:0')
tensor(1.0260, device='cuda:0')
tensor(1.2801, device='cuda:0')
tensor(1.1376, device='cuda:0')
tensor(1.1675, device='cuda:0')
tensor(1.2579, device='cuda:0')
tensor(1.1435, device='cuda:0')
tensor(0.7861, device='cuda:0')
tensor(0.9403, device='cuda:0')
tensor(0.8962, device='cuda:0')
tensor(1.6885, device='cuda:0')
tensor(1.8682, device='cuda:0')
tensor(1.4457, device='cuda:0')
tensor(1.4181, device='cuda:0')
tensor(1.3581, device='cuda:0')
tensor(1.4754, device='cuda:0')
tensor(1.5059, device='cuda:0')
tensor(1.3626, device='cuda:0')
tensor(1.5344, device='cuda:0')
tensor(1.3464, device='cuda:0')
tensor(1.4193, device='cuda:0')
tensor(1.3513, device='cuda:0')
tensor(1.5111, device='cuda:0')
tensor(1.4409, device='cuda:0')
tensor(1.4373, device='cuda:0')
tensor(1.5785, device='cuda:0')
tensor(1.2836, device='cuda:0')
tensor(1.5300, device='cuda:0')
tensor(1.6372, device='cuda:0')
tensor(1.1324, device='cuda:0')
tensor(1.0849, device='cuda:0')
tensor(1.1113, device='cuda:0')
tensor(1.3659, device='cuda:0')
tensor(1.5951, device='cuda:0')
tensor(1.3972, device='cuda:0')
tensor(1.3427, device='cuda:0')
tensor(1.2388, device='cuda:0')
tensor(1.3865, device='cuda:0')
tensor(1.2553, device='cuda:0')
tensor(0.8543, device='cuda:0')
tensor(0.5340, device='cuda:0')
tensor(1.0576, device='cuda:0')
tensor(0.9152, device='cuda:0')
tensor(1.3150, device='cuda:0')
tensor(1.2154, device='cuda:0')
tensor(0.9898, device='cuda:0')
tensor(1.6873, device='cuda:0')
tensor(1.5791, device='cuda:0')
tensor(1.4791, device='cuda:0')
tensor(1.6220, device='cuda:0')
tensor(1.3065, device='cuda:0')
tensor(1.2988, device='cuda:0')
tensor(1.3158, device='cuda:0')
tensor(1.4412, device='cuda:0')
tensor(1.4568, device='cuda:0')
tensor(1.3683, device='cuda:0')
tensor(1.3383, device='cuda:0')
tensor(1.5264, device='cuda:0')
tensor(1.5611, device='cuda:0')
tensor(1.9086, device='cuda:0')
tensor(1.2386, device='cuda:0')
tensor(1.3651, device='cuda:0')
tensor(1.3724, device='cuda:0')
tensor(1.3045, device='cuda:0')
tensor(1.5273, device='cuda:0')
tensor(1.2635, device='cuda:0')
tensor(0.9826, device='cuda:0')
tensor(0.9852, device='cuda:0')
tensor(0.9328, device='cuda:0')
tensor(0.9834, device='cuda:0')
tensor(1.1364, device='cuda:0')
tensor(1.0404, device='cuda:0')
tensor(1.3644, device='cuda:0')
tensor(1.3582, device='cuda:0')
tensor(1.2242, device='cuda:0')
tensor(1.1212, device='cuda:0')
tensor(1.1958, device='cuda:0')
tensor(1.7151, device='cuda:0')
