ppl: 3.125267267227173
tensor(1.1416, device='cuda:0')
tensor(1.5623, device='cuda:0')
tensor(1.5135, device='cuda:0')
tensor(1.2947, device='cuda:0')
tensor(1.3858, device='cuda:0')
tensor(1.2185, device='cuda:0')
tensor(1.6016, device='cuda:0')
tensor(1.1093, device='cuda:0')
tensor(1.1170, device='cuda:0')
tensor(1.0545, device='cuda:0')
tensor(0.9294, device='cuda:0')
tensor(0.8035, device='cuda:0')
tensor(0.9601, device='cuda:0')
tensor(0.9358, device='cuda:0')
tensor(0.7655, device='cuda:0')
tensor(0.7538, device='cuda:0')
tensor(1.0425, device='cuda:0')
tensor(0.8336, device='cuda:0')
tensor(1.4222, device='cuda:0')
tensor(1.3238, device='cuda:0')
tensor(1.1439, device='cuda:0')
tensor(1.0534, device='cuda:0')
tensor(1.0618, device='cuda:0')
tensor(1.0564, device='cuda:0')
tensor(1.4421, device='cuda:0')
tensor(1.2919, device='cuda:0')
tensor(0.6896, device='cuda:0')
tensor(0.8162, device='cuda:0')
tensor(0.8685, device='cuda:0')
tensor(0.7619, device='cuda:0')
tensor(0.9290, device='cuda:0')
tensor(0.8064, device='cuda:0')
tensor(1.5382, device='cuda:0')
tensor(2.0315, device='cuda:0')
tensor(1.5226, device='cuda:0')
tensor(1.6439, device='cuda:0')
tensor(1.2449, device='cuda:0')
tensor(1.4291, device='cuda:0')
tensor(1.4304, device='cuda:0')
tensor(1.5213, device='cuda:0')
tensor(1.5044, device='cuda:0')
tensor(1.6148, device='cuda:0')
tensor(1.4970, device='cuda:0')
tensor(1.5504, device='cuda:0')
tensor(1.5722, device='cuda:0')
tensor(1.6199, device='cuda:0')
tensor(1.2609, device='cuda:0')
tensor(1.2294, device='cuda:0')
tensor(1.5530, device='cuda:0')
tensor(1.1345, device='cuda:0')
tensor(1.2366, device='cuda:0')
tensor(1.0076, device='cuda:0')
tensor(0.9453, device='cuda:0')
tensor(1.4791, device='cuda:0')
tensor(2.0063, device='cuda:0')
tensor(1.7245, device='cuda:0')
tensor(1.4925, device='cuda:0')
tensor(1.6584, device='cuda:0')
tensor(1.5793, device='cuda:0')
tensor(1.6110, device='cuda:0')
tensor(1.4190, device='cuda:0')
tensor(1.3388, device='cuda:0')
tensor(1.5190, device='cuda:0')
tensor(1.4111, device='cuda:0')
tensor(1.2782, device='cuda:0')
tensor(1.2436, device='cuda:0')
tensor(1.2940, device='cuda:0')
tensor(1.5829, device='cuda:0')
tensor(1.2988, device='cuda:0')
tensor(1.4217, device='cuda:0')
tensor(1.4940, device='cuda:0')
tensor(0.9640, device='cuda:0')
tensor(0.7410, device='cuda:0')
tensor(0.7025, device='cuda:0')
tensor(0.7538, device='cuda:0')
tensor(0.7354, device='cuda:0')
tensor(0.8570, device='cuda:0')
tensor(0.6306, device='cuda:0')
tensor(0.7639, device='cuda:0')
tensor(0.9667, device='cuda:0')
tensor(1.2017, device='cuda:0')
tensor(1.2595, device='cuda:0')
tensor(1.1278, device='cuda:0')
tensor(1.2995, device='cuda:0')
tensor(1.4263, device='cuda:0')
tensor(0.9791, device='cuda:0')
tensor(0.9429, device='cuda:0')
tensor(1.1178, device='cuda:0')
tensor(1.0429, device='cuda:0')
tensor(0.9994, device='cuda:0')
tensor(0.9449, device='cuda:0')
tensor(1.2124, device='cuda:0')
tensor(1.0532, device='cuda:0')
tensor(0.8045, device='cuda:0')
tensor(0.7729, device='cuda:0')
tensor(1.0397, device='cuda:0')
tensor(0.9331, device='cuda:0')
tensor(0.7380, device='cuda:0')
tensor(0.6141, device='cuda:0')
tensor(0.7364, device='cuda:0')
tensor(0.6316, device='cuda:0')
tensor(1.4118, device='cuda:0')
tensor(0.8226, device='cuda:0')
tensor(1.0592, device='cuda:0')
tensor(1.0226, device='cuda:0')
tensor(0.7872, device='cuda:0')
tensor(0.9549, device='cuda:0')
tensor(1.1408, device='cuda:0')
tensor(1.3159, device='cuda:0')
tensor(1.2015, device='cuda:0')
tensor(1.0255, device='cuda:0')
tensor(1.1060, device='cuda:0')
tensor(1.0314, device='cuda:0')
tensor(1.3030, device='cuda:0')
tensor(1.3004, device='cuda:0')
tensor(1.1729, device='cuda:0')
tensor(1.2131, device='cuda:0')
tensor(1.1852, device='cuda:0')
tensor(0.7552, device='cuda:0')
tensor(0.8220, device='cuda:0')
tensor(0.8630, device='cuda:0')
tensor(0.9571, device='cuda:0')
tensor(1.1815, device='cuda:0')
tensor(0.8543, device='cuda:0')
tensor(0.9159, device='cuda:0')
tensor(0.9018, device='cuda:0')
tensor(0.8602, device='cuda:0')
tensor(1.0302, device='cuda:0')
tensor(1.2532, device='cuda:0')
tensor(1.3161, device='cuda:0')
tensor(1.6793, device='cuda:0')
tensor(2.0168, device='cuda:0')
tensor(1.4272, device='cuda:0')
tensor(1.1683, device='cuda:0')
tensor(1.2779, device='cuda:0')
tensor(1.6061, device='cuda:0')
tensor(1.5846, device='cuda:0')
tensor(1.1895, device='cuda:0')
tensor(0.8934, device='cuda:0')
tensor(0.8946, device='cuda:0')
tensor(0.7273, device='cuda:0')
tensor(0.7181, device='cuda:0')
tensor(1.3042, device='cuda:0')
tensor(1.1364, device='cuda:0')
tensor(1.3752, device='cuda:0')
tensor(0.9289, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(1.3170, device='cuda:0')
tensor(1.7980, device='cuda:0')
tensor(1.9358, device='cuda:0')
tensor(1.6156, device='cuda:0')
tensor(1.1957, device='cuda:0')
tensor(1.3156, device='cuda:0')
tensor(1.3652, device='cuda:0')
tensor(1.4649, device='cuda:0')
tensor(1.6017, device='cuda:0')
tensor(1.3295, device='cuda:0')
