ppl: 3.4328527450561523
tensor(1.2964, device='cuda:0')
tensor(0.6381, device='cuda:0')
tensor(1.5289, device='cuda:0')
tensor(1.7209, device='cuda:0')
tensor(1.7191, device='cuda:0')
tensor(1.5500, device='cuda:0')
tensor(1.6778, device='cuda:0')
tensor(1.1172, device='cuda:0')
tensor(1.2229, device='cuda:0')
tensor(1.0188, device='cuda:0')
tensor(1.1373, device='cuda:0')
tensor(1.2622, device='cuda:0')
tensor(1.1117, device='cuda:0')
tensor(1.1324, device='cuda:0')
tensor(1.2549, device='cuda:0')
tensor(1.4696, device='cuda:0')
tensor(2.2915, device='cuda:0')
tensor(1.3631, device='cuda:0')
tensor(1.3902, device='cuda:0')
tensor(1.2008, device='cuda:0')
tensor(1.4412, device='cuda:0')
tensor(1.3774, device='cuda:0')
tensor(0.9087, device='cuda:0')
tensor(1.0605, device='cuda:0')
tensor(0.9496, device='cuda:0')
tensor(0.8625, device='cuda:0')
tensor(0.8598, device='cuda:0')
tensor(1.0985, device='cuda:0')
tensor(0.7121, device='cuda:0')
tensor(1.1945, device='cuda:0')
tensor(1.9129, device='cuda:0')
tensor(1.9021, device='cuda:0')
tensor(1.8817, device='cuda:0')
tensor(1.5949, device='cuda:0')
tensor(1.3613, device='cuda:0')
tensor(1.8585, device='cuda:0')
tensor(1.5599, device='cuda:0')
tensor(1.6378, device='cuda:0')
tensor(1.2550, device='cuda:0')
tensor(1.5939, device='cuda:0')
tensor(1.1057, device='cuda:0')
tensor(1.0990, device='cuda:0')
tensor(1.0136, device='cuda:0')
tensor(1.2827, device='cuda:0')
tensor(1.2922, device='cuda:0')
tensor(1.5342, device='cuda:0')
tensor(1.3567, device='cuda:0')
tensor(1.4987, device='cuda:0')
tensor(1.6808, device='cuda:0')
tensor(1.1903, device='cuda:0')
tensor(1.4531, device='cuda:0')
tensor(1.9850, device='cuda:0')
tensor(1.7825, device='cuda:0')
tensor(2.2072, device='cuda:0')
tensor(1.4697, device='cuda:0')
tensor(0.9190, device='cuda:0')
tensor(0.6453, device='cuda:0')
tensor(1.3547, device='cuda:0')
tensor(1.5291, device='cuda:0')
tensor(1.6727, device='cuda:0')
tensor(2.0925, device='cuda:0')
tensor(1.8066, device='cuda:0')
tensor(1.2303, device='cuda:0')
tensor(1.1240, device='cuda:0')
tensor(1.4910, device='cuda:0')
tensor(1.5795, device='cuda:0')
tensor(1.3660, device='cuda:0')
tensor(1.0333, device='cuda:0')
tensor(0.8009, device='cuda:0')
tensor(0.8128, device='cuda:0')
tensor(0.7424, device='cuda:0')
tensor(1.0683, device='cuda:0')
tensor(1.2766, device='cuda:0')
tensor(1.1619, device='cuda:0')
tensor(1.2973, device='cuda:0')
tensor(0.8078, device='cuda:0')
tensor(0.8743, device='cuda:0')
tensor(1.4541, device='cuda:0')
tensor(1.8437, device='cuda:0')
tensor(1.7084, device='cuda:0')
tensor(1.3652, device='cuda:0')
tensor(1.5542, device='cuda:0')
tensor(1.5055, device='cuda:0')
tensor(1.2426, device='cuda:0')
tensor(1.4113, device='cuda:0')
tensor(1.2967, device='cuda:0')
tensor(1.8864, device='cuda:0')
tensor(1.6584, device='cuda:0')
tensor(1.7006, device='cuda:0')
tensor(1.9780, device='cuda:0')
tensor(1.3893, device='cuda:0')
tensor(1.4612, device='cuda:0')
tensor(1.5197, device='cuda:0')
tensor(1.4650, device='cuda:0')
tensor(1.7315, device='cuda:0')
tensor(1.2015, device='cuda:0')
tensor(1.7185, device='cuda:0')
tensor(0.7670, device='cuda:0')
tensor(1.0963, device='cuda:0')
tensor(0.8328, device='cuda:0')
tensor(1.2871, device='cuda:0')
tensor(1.1917, device='cuda:0')
tensor(1.4659, device='cuda:0')
tensor(1.2906, device='cuda:0')
tensor(1.0197, device='cuda:0')
tensor(1.2255, device='cuda:0')
tensor(1.1497, device='cuda:0')
tensor(1.8790, device='cuda:0')
tensor(1.3747, device='cuda:0')
tensor(1.5889, device='cuda:0')
tensor(1.2558, device='cuda:0')
tensor(1.0662, device='cuda:0')
tensor(1.7083, device='cuda:0')
tensor(2.3259, device='cuda:0')
tensor(1.7269, device='cuda:0')
tensor(1.7690, device='cuda:0')
tensor(1.9225, device='cuda:0')
tensor(1.9222, device='cuda:0')
tensor(0.8611, device='cuda:0')
tensor(0.8989, device='cuda:0')
tensor(1.3240, device='cuda:0')
tensor(1.6156, device='cuda:0')
tensor(1.6452, device='cuda:0')
tensor(1.6593, device='cuda:0')
tensor(1.2446, device='cuda:0')
