ppl: 3.1654469966888428
nlls:tensor(1.2839, device='cuda:0')
tensor(0.9189, device='cuda:0')
tensor(0.9284, device='cuda:0')
tensor(0.9210, device='cuda:0')
tensor(1.0112, device='cuda:0')
tensor(0.8908, device='cuda:0')
tensor(0.9852, device='cuda:0')
tensor(1.6641, device='cuda:0')
tensor(1.0884, device='cuda:0')
tensor(1.1064, device='cuda:0')
tensor(1.3891, device='cuda:0')
tensor(1.0652, device='cuda:0')
tensor(0.9820, device='cuda:0')
tensor(1.0161, device='cuda:0')
tensor(0.8704, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.7524, device='cuda:0')
tensor(0.6961, device='cuda:0')
tensor(1.0152, device='cuda:0')
tensor(0.8145, device='cuda:0')
tensor(1.1231, device='cuda:0')
tensor(1.0789, device='cuda:0')
tensor(0.9863, device='cuda:0')
tensor(1.1016, device='cuda:0')
tensor(0.7956, device='cuda:0')
tensor(0.9166, device='cuda:0')
tensor(0.8628, device='cuda:0')
tensor(0.8546, device='cuda:0')
tensor(0.7944, device='cuda:0')
tensor(0.6100, device='cuda:0')
tensor(0.8175, device='cuda:0')
tensor(1.0935, device='cuda:0')
tensor(1.3116, device='cuda:0')
tensor(1.3592, device='cuda:0')
tensor(1.3264, device='cuda:0')
tensor(1.3577, device='cuda:0')
tensor(1.2136, device='cuda:0')
tensor(1.1078, device='cuda:0')
tensor(1.2051, device='cuda:0')
tensor(1.0565, device='cuda:0')
tensor(1.0699, device='cuda:0')
tensor(0.7810, device='cuda:0')
tensor(0.5979, device='cuda:0')
tensor(1.1436, device='cuda:0')
tensor(1.1519, device='cuda:0')
tensor(1.4855, device='cuda:0')
tensor(0.8354, device='cuda:0')
tensor(0.8570, device='cuda:0')
tensor(0.7700, device='cuda:0')
tensor(0.9419, device='cuda:0')
tensor(0.9926, device='cuda:0')
tensor(0.8709, device='cuda:0')
tensor(0.9332, device='cuda:0')
tensor(0.9407, device='cuda:0')
tensor(0.9518, device='cuda:0')
tensor(0.8670, device='cuda:0')
tensor(0.8298, device='cuda:0')
tensor(0.8268, device='cuda:0')
tensor(1.0510, device='cuda:0')
tensor(1.1643, device='cuda:0')
tensor(0.8720, device='cuda:0')
tensor(1.0418, device='cuda:0')
tensor(0.8931, device='cuda:0')
tensor(0.8067, device='cuda:0')
tensor(1.1006, device='cuda:0')
tensor(1.0246, device='cuda:0')
tensor(1.0202, device='cuda:0')
tensor(0.8798, device='cuda:0')
tensor(0.9581, device='cuda:0')
tensor(0.8673, device='cuda:0')
tensor(1.0658, device='cuda:0')
tensor(1.0747, device='cuda:0')
tensor(1.0924, device='cuda:0')
tensor(1.1008, device='cuda:0')
tensor(1.2581, device='cuda:0')
tensor(1.3740, device='cuda:0')
tensor(1.2033, device='cuda:0')
tensor(1.6005, device='cuda:0')
tensor(1.1960, device='cuda:0')
tensor(1.0052, device='cuda:0')
tensor(1.2720, device='cuda:0')
tensor(1.4550, device='cuda:0')
tensor(1.3367, device='cuda:0')
tensor(1.3845, device='cuda:0')
tensor(0.9030, device='cuda:0')
tensor(0.9125, device='cuda:0')
tensor(0.8259, device='cuda:0')
tensor(1.0559, device='cuda:0')
tensor(1.3515, device='cuda:0')
tensor(1.4297, device='cuda:0')
tensor(1.3138, device='cuda:0')
tensor(1.3689, device='cuda:0')
tensor(1.1083, device='cuda:0')
tensor(0.8800, device='cuda:0')
tensor(0.9672, device='cuda:0')
tensor(0.7683, device='cuda:0')
tensor(0.9635, device='cuda:0')
tensor(1.3908, device='cuda:0')
tensor(1.1146, device='cuda:0')
tensor(1.0737, device='cuda:0')
tensor(1.3772, device='cuda:0')
tensor(0.7649, device='cuda:0')
tensor(0.8277, device='cuda:0')
