ppl: 3.4719388484954834
nlls:tensor(1.3491, device='cuda:0')
tensor(1.7413, device='cuda:0')
tensor(1.1603, device='cuda:0')
tensor(1.2800, device='cuda:0')
tensor(1.5676, device='cuda:0')
tensor(1.2146, device='cuda:0')
tensor(0.9470, device='cuda:0')
tensor(1.0638, device='cuda:0')
tensor(1.1316, device='cuda:0')
tensor(2.2532, device='cuda:0')
tensor(1.7665, device='cuda:0')
tensor(1.5083, device='cuda:0')
tensor(2.1400, device='cuda:0')
tensor(2.4923, device='cuda:0')
tensor(2.1959, device='cuda:0')
tensor(2.3212, device='cuda:0')
tensor(1.9943, device='cuda:0')
tensor(1.4128, device='cuda:0')
tensor(1.9092, device='cuda:0')
tensor(1.8243, device='cuda:0')
tensor(2.0323, device='cuda:0')
tensor(2.5252, device='cuda:0')
tensor(1.8065, device='cuda:0')
tensor(1.9885, device='cuda:0')
tensor(1.8131, device='cuda:0')
tensor(1.2245, device='cuda:0')
tensor(1.2732, device='cuda:0')
tensor(1.6065, device='cuda:0')
tensor(1.0644, device='cuda:0')
tensor(0.9062, device='cuda:0')
tensor(0.4941, device='cuda:0')
tensor(0.8239, device='cuda:0')
tensor(0.8356, device='cuda:0')
tensor(0.8958, device='cuda:0')
tensor(0.7654, device='cuda:0')
tensor(0.7018, device='cuda:0')
tensor(0.9602, device='cuda:0')
tensor(1.0087, device='cuda:0')
tensor(1.0345, device='cuda:0')
tensor(1.0874, device='cuda:0')
tensor(1.3003, device='cuda:0')
tensor(1.2709, device='cuda:0')
tensor(0.8979, device='cuda:0')
tensor(1.6462, device='cuda:0')
tensor(1.6710, device='cuda:0')
tensor(1.6283, device='cuda:0')
tensor(1.2248, device='cuda:0')
tensor(1.1591, device='cuda:0')
tensor(1.2114, device='cuda:0')
tensor(0.9194, device='cuda:0')
tensor(1.0136, device='cuda:0')
tensor(1.5537, device='cuda:0')
tensor(0.8243, device='cuda:0')
tensor(0.5768, device='cuda:0')
tensor(0.4555, device='cuda:0')
tensor(1.3143, device='cuda:0')
tensor(1.0504, device='cuda:0')
tensor(1.1749, device='cuda:0')
tensor(1.9591, device='cuda:0')
tensor(1.5987, device='cuda:0')
tensor(1.3296, device='cuda:0')
tensor(1.3024, device='cuda:0')
tensor(1.3157, device='cuda:0')
tensor(1.5301, device='cuda:0')
tensor(1.8860, device='cuda:0')
tensor(1.7428, device='cuda:0')
tensor(0.9406, device='cuda:0')
tensor(0.9387, device='cuda:0')
tensor(1.0455, device='cuda:0')
tensor(0.9756, device='cuda:0')
tensor(0.8582, device='cuda:0')
tensor(0.8865, device='cuda:0')
tensor(1.2111, device='cuda:0')
tensor(1.1288, device='cuda:0')
tensor(1.1064, device='cuda:0')
tensor(1.1272, device='cuda:0')
tensor(1.0297, device='cuda:0')
tensor(1.1857, device='cuda:0')
tensor(1.4379, device='cuda:0')
tensor(1.1315, device='cuda:0')
tensor(1.8601, device='cuda:0')
tensor(1.2673, device='cuda:0')
tensor(1.2748, device='cuda:0')
tensor(1.0442, device='cuda:0')
tensor(1.0386, device='cuda:0')
tensor(0.8691, device='cuda:0')
tensor(1.0772, device='cuda:0')
tensor(0.9204, device='cuda:0')
tensor(0.9670, device='cuda:0')
tensor(1.6347, device='cuda:0')
tensor(1.6616, device='cuda:0')
tensor(1.4164, device='cuda:0')
tensor(1.1287, device='cuda:0')
tensor(1.2059, device='cuda:0')
tensor(1.1289, device='cuda:0')
tensor(1.3618, device='cuda:0')
tensor(1.8185, device='cuda:0')
tensor(1.3012, device='cuda:0')
tensor(1.4164, device='cuda:0')
tensor(0.9991, device='cuda:0')
tensor(0.9075, device='cuda:0')
tensor(0.9848, device='cuda:0')
tensor(0.9544, device='cuda:0')
tensor(1.9148, device='cuda:0')
tensor(1.7369, device='cuda:0')
tensor(1.6235, device='cuda:0')
tensor(1.5861, device='cuda:0')
tensor(1.4489, device='cuda:0')
tensor(1.1215, device='cuda:0')
tensor(1.1654, device='cuda:0')
tensor(1.4167, device='cuda:0')
tensor(1.4497, device='cuda:0')
tensor(1.4420, device='cuda:0')
tensor(1.7266, device='cuda:0')
tensor(1.9780, device='cuda:0')
tensor(1.2093, device='cuda:0')
tensor(0.9947, device='cuda:0')
tensor(1.5949, device='cuda:0')
tensor(1.9541, device='cuda:0')
tensor(1.1993, device='cuda:0')
tensor(1.5553, device='cuda:0')
tensor(1.2239, device='cuda:0')
tensor(0.8156, device='cuda:0')
tensor(0.9260, device='cuda:0')
tensor(1.2290, device='cuda:0')
tensor(1.0543, device='cuda:0')
tensor(1.1713, device='cuda:0')
tensor(1.7775, device='cuda:0')
tensor(1.4755, device='cuda:0')
tensor(1.3943, device='cuda:0')
tensor(1.3626, device='cuda:0')
tensor(1.7708, device='cuda:0')
tensor(1.8373, device='cuda:0')
tensor(1.4274, device='cuda:0')
tensor(1.5059, device='cuda:0')
tensor(1.4754, device='cuda:0')
tensor(1.2472, device='cuda:0')
tensor(0.9869, device='cuda:0')
tensor(1.2523, device='cuda:0')
tensor(1.3811, device='cuda:0')
tensor(1.1352, device='cuda:0')
tensor(1.5162, device='cuda:0')
tensor(1.4758, device='cuda:0')
tensor(1.1611, device='cuda:0')
tensor(2.0440, device='cuda:0')
tensor(1.7664, device='cuda:0')
tensor(1.9359, device='cuda:0')
tensor(0.8897, device='cuda:0')
tensor(1.4802, device='cuda:0')
tensor(1.6621, device='cuda:0')
tensor(1.3268, device='cuda:0')
tensor(1.1526, device='cuda:0')
tensor(1.1705, device='cuda:0')
tensor(1.2260, device='cuda:0')
tensor(1.0569, device='cuda:0')
tensor(1.1693, device='cuda:0')
tensor(1.1741, device='cuda:0')
tensor(1.2443, device='cuda:0')
tensor(1.4805, device='cuda:0')
tensor(1.1442, device='cuda:0')
tensor(0.9754, device='cuda:0')
tensor(1.0630, device='cuda:0')
tensor(1.4924, device='cuda:0')
tensor(1.9599, device='cuda:0')
tensor(1.5223, device='cuda:0')
tensor(0.8359, device='cuda:0')
tensor(0.5968, device='cuda:0')
tensor(1.5258, device='cuda:0')
tensor(1.1840, device='cuda:0')
tensor(0.7206, device='cuda:0')
tensor(0.8440, device='cuda:0')
tensor(1.2175, device='cuda:0')
tensor(1.0334, device='cuda:0')
tensor(1.0451, device='cuda:0')
tensor(1.1165, device='cuda:0')
tensor(1.2446, device='cuda:0')
tensor(1.0918, device='cuda:0')
tensor(1.1049, device='cuda:0')
tensor(1.0778, device='cuda:0')
tensor(0.9264, device='cuda:0')
