ppl: 3.3609094619750977
nlls:tensor(1.3777, device='cuda:0')
tensor(1.2705, device='cuda:0')
tensor(1.0639, device='cuda:0')
tensor(0.9244, device='cuda:0')
tensor(0.9249, device='cuda:0')
tensor(1.0692, device='cuda:0')
tensor(0.9770, device='cuda:0')
tensor(0.9999, device='cuda:0')
tensor(1.1202, device='cuda:0')
tensor(1.0219, device='cuda:0')
tensor(0.9141, device='cuda:0')
tensor(0.9948, device='cuda:0')
tensor(1.0993, device='cuda:0')
tensor(1.0080, device='cuda:0')
tensor(1.6831, device='cuda:0')
tensor(1.6206, device='cuda:0')
tensor(1.1358, device='cuda:0')
tensor(1.1218, device='cuda:0')
tensor(0.8965, device='cuda:0')
tensor(1.4176, device='cuda:0')
tensor(1.2468, device='cuda:0')
tensor(1.5476, device='cuda:0')
tensor(0.9654, device='cuda:0')
tensor(1.2958, device='cuda:0')
tensor(1.2028, device='cuda:0')
tensor(1.0510, device='cuda:0')
tensor(1.4364, device='cuda:0')
tensor(0.8136, device='cuda:0')
tensor(0.8776, device='cuda:0')
tensor(1.0363, device='cuda:0')
tensor(0.8998, device='cuda:0')
tensor(0.7538, device='cuda:0')
tensor(0.8161, device='cuda:0')
tensor(0.8689, device='cuda:0')
tensor(0.7861, device='cuda:0')
tensor(0.7356, device='cuda:0')
tensor(0.9764, device='cuda:0')
tensor(1.2251, device='cuda:0')
tensor(1.0752, device='cuda:0')
tensor(0.7525, device='cuda:0')
tensor(1.0866, device='cuda:0')
tensor(1.3479, device='cuda:0')
tensor(1.2051, device='cuda:0')
tensor(1.1546, device='cuda:0')
tensor(1.1434, device='cuda:0')
tensor(1.0644, device='cuda:0')
tensor(1.0486, device='cuda:0')
tensor(1.3543, device='cuda:0')
tensor(0.7989, device='cuda:0')
tensor(0.9482, device='cuda:0')
tensor(0.7567, device='cuda:0')
tensor(1.3078, device='cuda:0')
tensor(1.0237, device='cuda:0')
tensor(1.0020, device='cuda:0')
tensor(0.9677, device='cuda:0')
tensor(0.9933, device='cuda:0')
tensor(0.9241, device='cuda:0')
tensor(0.8474, device='cuda:0')
tensor(0.7178, device='cuda:0')
tensor(0.6152, device='cuda:0')
tensor(0.9089, device='cuda:0')
tensor(0.9357, device='cuda:0')
tensor(1.1980, device='cuda:0')
tensor(1.0315, device='cuda:0')
tensor(1.4581, device='cuda:0')
tensor(1.3539, device='cuda:0')
tensor(1.3778, device='cuda:0')
tensor(1.4800, device='cuda:0')
tensor(1.6657, device='cuda:0')
tensor(1.0850, device='cuda:0')
tensor(1.4061, device='cuda:0')
tensor(1.5148, device='cuda:0')
tensor(1.1930, device='cuda:0')
tensor(1.4244, device='cuda:0')
tensor(1.4838, device='cuda:0')
tensor(0.7690, device='cuda:0')
tensor(1.3741, device='cuda:0')
tensor(1.0994, device='cuda:0')
tensor(0.9638, device='cuda:0')
tensor(1.1430, device='cuda:0')
tensor(1.2136, device='cuda:0')
tensor(0.9412, device='cuda:0')
tensor(0.8023, device='cuda:0')
tensor(0.7658, device='cuda:0')
tensor(0.5922, device='cuda:0')
tensor(0.6007, device='cuda:0')
tensor(0.6267, device='cuda:0')
tensor(1.7414, device='cuda:0')
tensor(1.2338, device='cuda:0')
tensor(1.1500, device='cuda:0')
tensor(1.6187, device='cuda:0')
tensor(1.4685, device='cuda:0')
tensor(0.9394, device='cuda:0')
tensor(0.8796, device='cuda:0')
tensor(0.7909, device='cuda:0')
tensor(1.0580, device='cuda:0')
tensor(0.7712, device='cuda:0')
tensor(0.9603, device='cuda:0')
tensor(0.9404, device='cuda:0')
tensor(1.1568, device='cuda:0')
tensor(1.0696, device='cuda:0')
tensor(1.0727, device='cuda:0')
tensor(1.0736, device='cuda:0')
tensor(0.8395, device='cuda:0')
tensor(1.0482, device='cuda:0')
tensor(0.9618, device='cuda:0')
tensor(1.0746, device='cuda:0')
tensor(0.9692, device='cuda:0')
tensor(1.0716, device='cuda:0')
tensor(0.9774, device='cuda:0')
tensor(1.0170, device='cuda:0')
tensor(0.8711, device='cuda:0')
tensor(0.9118, device='cuda:0')
tensor(0.9184, device='cuda:0')
tensor(1.0138, device='cuda:0')
tensor(0.8153, device='cuda:0')
tensor(1.1613, device='cuda:0')
tensor(1.0931, device='cuda:0')
tensor(1.3211, device='cuda:0')
tensor(1.2151, device='cuda:0')
tensor(0.9657, device='cuda:0')
tensor(0.9867, device='cuda:0')
tensor(1.1669, device='cuda:0')
tensor(1.1630, device='cuda:0')
tensor(1.0878, device='cuda:0')
tensor(0.8756, device='cuda:0')
tensor(0.9860, device='cuda:0')
tensor(0.7991, device='cuda:0')
tensor(1.1181, device='cuda:0')
tensor(1.2903, device='cuda:0')
tensor(1.3770, device='cuda:0')
tensor(0.8149, device='cuda:0')
tensor(0.9121, device='cuda:0')
tensor(1.2592, device='cuda:0')
tensor(1.0132, device='cuda:0')
tensor(0.9163, device='cuda:0')
tensor(0.9547, device='cuda:0')
tensor(1.0986, device='cuda:0')
tensor(0.7510, device='cuda:0')
tensor(1.1316, device='cuda:0')
tensor(0.9571, device='cuda:0')
tensor(1.3092, device='cuda:0')
tensor(1.0003, device='cuda:0')
tensor(1.3027, device='cuda:0')
tensor(1.1281, device='cuda:0')
tensor(1.2437, device='cuda:0')
tensor(1.3710, device='cuda:0')
tensor(1.0748, device='cuda:0')
tensor(1.3514, device='cuda:0')
tensor(1.3266, device='cuda:0')
tensor(1.3027, device='cuda:0')
tensor(1.5558, device='cuda:0')
tensor(1.2383, device='cuda:0')
tensor(1.3466, device='cuda:0')
tensor(1.6800, device='cuda:0')
tensor(1.6817, device='cuda:0')
tensor(1.3074, device='cuda:0')
tensor(1.1735, device='cuda:0')
tensor(1.0488, device='cuda:0')
tensor(1.0678, device='cuda:0')
tensor(1.3021, device='cuda:0')
tensor(1.3541, device='cuda:0')
tensor(1.5045, device='cuda:0')
tensor(1.5119, device='cuda:0')
tensor(1.2440, device='cuda:0')
tensor(1.4640, device='cuda:0')
tensor(1.6571, device='cuda:0')
tensor(1.3754, device='cuda:0')
tensor(0.9798, device='cuda:0')
tensor(1.0264, device='cuda:0')
tensor(1.0314, device='cuda:0')
tensor(1.0001, device='cuda:0')
tensor(1.0866, device='cuda:0')
tensor(0.7431, device='cuda:0')
tensor(1.3767, device='cuda:0')
tensor(0.9206, device='cuda:0')
tensor(1.2306, device='cuda:0')
tensor(1.6280, device='cuda:0')
tensor(1.5594, device='cuda:0')
tensor(1.3955, device='cuda:0')
tensor(1.4942, device='cuda:0')
tensor(1.2913, device='cuda:0')
